accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.726515531539917,0.8157126903533936,0.5246290564537048,0.13774463534355164,0.7570122480392456,0.7111237049102783,0.768471896648407,0.5766775608062744,0.12277670204639435,0.6905456781387329,0.0005000000237487257
0.7400062680244446,0.8374175429344177,0.4962787628173828,0.14781948924064636,0.7840483784675598,0.7109600901603699,0.7586674690246582,0.5610318779945374,0.12065008282661438,0.6752527952194214,0.0005000000237487257
0.7475354671478271,0.8529101610183716,0.47378551959991455,0.15481799840927124,0.807061493396759,0.7116376161575317,0.7467343807220459,0.5503484010696411,0.11861610412597656,0.6584162712097168,0.0005000000237487257
0.7566600441932678,0.8645285964012146,0.4557574391365051,0.1616595834493637,0.820059061050415,0.7102372050285339,0.7386480569839478,0.5553956627845764,0.11670681089162827,0.6484609246253967,0.0005000000237487257
0.7622941732406616,0.8744379281997681,0.43874698877334595,0.16666948795318604,0.8325221538543701,0.7237626314163208,0.7310865521430969,0.5473519563674927,0.11881719529628754,0.6255804896354675,0.0005000000237487257
0.7655174732208252,0.8808125257492065,0.42646846175193787,0.1693604290485382,0.8378112316131592,0.7136196494102478,0.729492723941803,0.5537797212600708,0.11663990467786789,0.6386363506317139,0.0005000000237487257
0.7691283822059631,0.8863617181777954,0.4167739450931549,0.17269155383110046,0.8456323146820068,0.7135511636734009,0.722569465637207,0.5638464093208313,0.11497079581022263,0.6269541382789612,0.0005000000237487257
0.7731918096542358,0.8916478157043457,0.4066096544265747,0.17616185545921326,0.8517372608184814,0.7059170603752136,0.7254445552825928,0.5705896615982056,0.11390126496553421,0.6398398876190186,0.0005000000237487257
0.7758142948150635,0.8963141441345215,0.397494912147522,0.17883701622486115,0.8585736155509949,0.7306262850761414,0.7182626128196716,0.547815203666687,0.1188390702009201,0.6063107252120972,0.0005000000237487257
0.7795039415359497,0.8990778923034668,0.39270681142807007,0.1813800036907196,0.8586017489433289,0.7399368286132812,0.7157711386680603,0.5487536191940308,0.12045430392026901,0.5903507471084595,0.0005000000237487257
