Model,Val AUC,Test Accuracy,Test F1,Test ROC-AUC,Best Epoch
LSTM (Baseline),0.7816199064254761,0.9449166102085826,0.00310445580715851,0.7829367301244194,1
GRU,0.7840831279754639,0.9449057990860997,0.0,0.7851538445657679,1
Bidirectional LSTM,0.7829080820083618,0.9449209346575758,0.002115379593115876,0.7842089294247404,1
Stacked LSTM (2 layers),0.7827988862991333,0.9449057990860997,0.0,0.7837395331988645,1
